,Altersgruppe,2020_10,2020_11,2020_12,2020_13,2020_14,2020_15,2020_16,2020_17,2020_18,2020_19,2020_20,2020_21,2020_22,2020_23,2020_24,2020_25,2020_26,2020_27,2020_28,2020_29,2020_30,2020_31,2020_32,2020_33,2020_34,2020_35,2020_36,2020_37,2020_38,2020_39,2020_40,2020_41,2020_42,2020_43,2020_44,2020_45,2020_46,2020_47,2020_48,2020_49,2020_50,2020_51,2020_52,2020_53,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6,2021_7,2021_8,2021_9,2021_10,2021_11,2021_12,2021_13,2021_14,2021_15,2021_16,2021_17,2021_18,2021_19,2021_20,2021_21,2021_22,2021_23,2021_24
0,Gesamt,1.08,7.73,26.93,40.85,43.34,32.64,20.84,14.86,8.94,7.5,5.73,4.33,3.85,2.83,2.82,4.96,3.86,3.23,2.92,3.63,4.72,5.8,7.28,9.56,11.54,10.61,10.37,11.74,14.78,15.7,19.14,31.4,50.57,89.97,133.51,151.22,153.62,154.35,148.18,154.43,188.01,210.19,167.15,148.04,175.0,143.11,114.94,93.99,77.69,61.11,63.05,67.8,70.23,85.82,111.37,139.98,132.45,142.22,170.84,174.3,150.15,121.58,85.25,63.51,35.98,24.93,16.93,8.7
1,90+,0.12,1.58,12.27,51.64,142.15,150.9,103.15,70.71,34.51,25.03,17.13,12.51,8.75,5.1,5.59,4.5,3.4,2.92,1.7,3.28,2.07,4.74,3.4,3.04,2.19,3.4,2.92,5.47,8.87,11.42,14.34,22.36,53.1,107.28,177.75,209.22,280.91,371.91,426.95,508.72,655.98,725.23,636.66,603.98,657.07,611.14,479.32,348.83,234.98,158.07,130.0,100.36,74.24,73.99,78.0,80.68,76.18,87.48,97.08,96.84,78.12,66.58,50.54,33.9,19.44,15.79,8.38,5.71
2,85 - 89,0.38,2.43,14.0,47.0,92.59,91.06,59.15,43.55,20.72,16.75,11.45,8.06,5.44,3.26,3.26,3.01,2.11,1.79,1.28,1.53,2.17,2.62,2.49,3.58,1.47,2.11,1.6,5.44,6.52,7.74,10.55,19.57,36.83,73.41,114.34,146.31,181.16,215.69,261.54,293.83,377.73,443.15,372.68,357.21,388.73,356.18,284.43,212.37,164.92,105.58,93.81,76.99,61.71,59.98,71.36,80.51,75.9,68.42,76.99,75.2,63.43,54.61,39.65,27.43,15.16,10.23,5.88,3.39
3,80 - 84,0.36,2.55,14.21,38.86,59.68,52.12,35.76,24.89,13.75,9.08,7.47,4.64,3.43,2.31,1.85,1.88,1.55,1.49,1.12,1.15,1.55,2.73,2.12,2.46,1.94,1.52,1.82,4.01,5.95,6.44,9.56,14.27,26.05,55.7,86.12,104.24,115.32,132.32,144.92,165.35,214.74,250.8,225.0,208.33,233.01,203.26,161.83,127.46,95.59,69.51,60.65,53.97,46.96,49.75,54.49,64.66,57.65,59.5,67.24,61.38,48.33,41.65,27.93,20.98,11.57,6.41,4.8,1.88
4,75 - 79,0.62,2.92,14.73,36.19,46.13,33.92,22.0,15.17,9.05,7.09,4.51,2.71,2.14,1.5,1.19,1.68,1.47,1.03,1.03,1.14,1.47,1.83,1.42,1.83,1.73,1.78,1.93,3.79,4.67,5.98,7.95,13.03,23.29,41.97,68.26,78.73,84.82,87.25,90.16,102.39,128.93,153.34,131.69,119.7,134.87,111.39,88.07,72.62,56.75,43.8,44.22,40.63,35.24,36.81,48.91,57.22,56.24,60.83,69.78,64.36,54.77,42.9,29.59,20.04,10.58,6.48,4.0,1.55
5,70 - 74,0.3,3.97,16.82,36.12,38.4,28.42,17.2,11.54,7.48,5.66,3.48,2.56,2.18,1.28,1.09,1.52,1.09,1.01,1.55,1.69,1.71,2.42,2.48,2.15,2.64,2.5,2.86,4.11,7.05,7.24,9.55,15.92,25.42,49.02,78.41,86.66,89.82,91.37,86.99,94.74,119.4,140.31,120.98,112.41,131.6,99.78,83.31,67.5,56.18,42.92,43.49,44.85,42.41,49.29,64.78,77.27,79.07,85.49,98.42,91.72,78.52,62.68,43.38,29.56,15.92,9.28,5.91,3.1
6,65 - 69,0.51,4.86,18.19,33.9,34.76,22.93,13.52,10.33,5.45,4.28,3.0,2.51,2.18,1.23,1.05,1.42,1.36,1.28,1.28,1.46,1.75,1.77,2.49,2.26,2.49,2.65,2.63,4.61,5.97,6.28,9.26,14.14,26.38,46.61,73.1,87.63,82.59,85.43,85.14,84.77,106.46,130.79,114.96,102.41,117.95,90.92,74.73,64.27,52.21,39.43,42.05,43.69,41.12,47.42,65.67,80.28,81.68,88.66,101.17,95.33,81.64,67.91,47.79,33.36,15.93,12.22,6.69,2.82
7,60 - 64,1.12,7.58,28.22,44.65,49.22,31.68,19.19,11.92,7.17,5.88,4.23,3.1,2.99,1.88,1.61,2.12,1.89,1.97,1.65,1.95,2.69,2.67,3.61,3.42,4.2,4.3,4.39,6.0,8.71,9.6,12.04,22.5,37.59,70.13,106.09,121.52,122.54,129.36,124.07,135.47,166.9,195.28,162.51,146.46,164.12,133.73,110.43,90.76,74.72,56.48,57.56,62.24,60.54,73.09,93.86,116.45,113.46,121.76,134.39,137.56,120.38,97.93,66.11,47.01,23.76,14.96,10.0,5.13
8,55 - 59,1.14,11.12,38.49,53.32,54.38,38.59,23.2,15.75,8.89,7.55,5.34,3.92,3.52,2.11,1.97,2.76,3.01,2.3,1.72,2.64,3.58,4.26,4.59,4.82,6.4,5.3,5.85,8.22,11.3,12.85,16.46,27.77,44.56,85.45,133.2,150.88,152.76,152.11,146.56,154.07,193.65,222.77,183.77,164.67,183.2,149.05,123.85,104.12,86.3,66.94,68.35,71.79,68.81,84.72,107.77,135.05,132.83,143.81,158.48,163.86,147.34,116.11,79.04,53.08,28.69,18.66,11.77,5.39
9,50 - 54,1.98,14.59,46.06,59.63,55.09,38.88,23.22,14.72,8.97,7.76,5.59,3.76,3.59,2.24,2.18,4.72,3.98,2.77,2.56,3.1,4.38,5.22,6.18,7.05,8.35,8.0,8.2,9.97,13.35,14.83,17.93,33.83,53.26,95.57,145.55,163.41,163.91,161.51,154.08,157.3,197.58,222.42,178.5,156.81,180.46,146.21,122.04,99.53,79.06,64.25,67.17,70.79,73.63,87.96,112.37,139.38,135.99,148.34,165.66,173.56,151.37,119.7,81.46,56.27,30.74,20.33,12.29,6.59
